iter	Passed	Remaining
557	4998	3959
558	5006	3950
559	5011	3937
560	5015	3924
561	5021	3913
562	5028	3903
563	5032	3890
564	5037	3878
565	5040	3864
566	5042	3850
567	5045	3837
568	5047	3823
569	5054	3812
570	5057	3799
571	5060	3786
572	5063	3773
573	5077	3768
574	5085	3758
575	5088	3745
576	5091	3732
577	5093	3719
578	5098	3707
579	5101	3694
580	5104	3681
581	5110	3670
582	5116	3659
583	5118	3646
584	5121	3633
585	5126	3621
586	5130	3609
587	5132	3596
588	5135	3583
589	5141	3572
590	5144	3560
591	5146	3546
592	5149	3534
593	5151	3521
594	5155	3509
595	5158	3496
596	5160	3483
597	5163	3470
598	5168	3460
599	5171	3447
600	5174	3435
601	5177	3422
602	5179	3410
603	5183	3398
604	5185	3385
605	5188	3373
606	5190	3360
607	5196	3350
608	5200	3338
609	5202	3326
610	5206	3314
611	5210	3303
612	5213	3291
613	5216	3279
614	5219	3267
615	5223	3255
616	5225	3243
617	5227	3231
618	5230	3219
619	5237	3210
620	5240	3198
621	5243	3186
622	5246	3174
623	5253	3165
624	5256	3153
625	5258	3141
626	5260	3129
627	5267	3120
628	5270	3108
629	5273	3096
630	5275	3085
631	5281	3075
632	5286	3065
633	5291	3054
634	5299	3046
635	5302	3034
636	5304	3022
637	5306	3011
638	5316	3003
639	5318	2991
640	5321	2980
641	5328	2971
642	5331	2960
643	5334	2949
644	5337	2937
645	5344	2928
646	5347	2917
647	5350	2906
648	5352	2894
649	5359	2885
650	5362	2874
651	5364	2863
652	5366	2851
653	5371	2841
654	5373	2830
655	5376	2819
656	5382	2810
657	5386	2799
658	5389	2788
659	5392	2777
660	5398	2768
661	5402	2758
662	5404	2747
663	5407	2736
664	5414	2727
665	5417	2716
666	5422	2707
667	5431	2699
668	5436	2689
669	5446	2682
670	5451	2672
671	5453	2662
672	5464	2655
673	5467	2644
674	5478	2638
675	5483	2627
676	5495	2621
677	5500	2612
678	5514	2606
679	5520	2598
680	5526	2588
681	5530	2578
682	5540	2571
683	5544	2561
684	5547	2551
685	5553	2542
686	5558	2532
687	5561	2522
688	5568	2513
689	5573	2504
690	5577	2494
691	5584	2485
692	5587	2475
693	5591	2465
694	5593	2454
695	5600	2446
696	5602	2435
697	5605	2425
698	5607	2414
699	5613	2405
700	5616	2395
701	5618	2385
702	5621	2374
703	5628	2366
704	5631	2356
705	5634	2346
706	5636	2335
707	5644	2327
708	5646	2317
709	5649	2307
710	5651	2297
711	5658	2288
712	5661	2278
713	5664	2268
714	5667	2258
715	5671	2249
716	5673	2239
717	5676	2229
718	5678	2219
719	5683	2210
720	5687	2200
721	5690	2191
722	5697	2182
723	5700	2173
724	5702	2163
725	5705	2153
726	5708	2143
727	5714	2134
728	5716	2125
729	5718	2115
730	5723	2106
731	5727	2096
732	5730	2087
733	5732	2077
734	5735	2067
735	5741	2059
736	5744	2050
737	5747	2040
738	5750	2030
739	5757	2022
740	5760	2013
741	5763	2003
742	5767	1994
743	5772	1986
744	5776	1977
745	5779	1967
746	5789	1960
747	5792	1951
748	5795	1942
749	5805	1935
750	5809	1926
751	5811	1916
752	5822	1909
753	5825	1900
754	5837	1894
755	5840	1884
756	5846	1876
757	5853	1868
758	5858	1860
759	5864	1851
760	5869	1843
761	5878	1835
762	5881	1826
763	5884	1817
764	5892	1809
765	5897	1801
766	5907	1794
767	5911	1785
768	5920	1778
769	5924	1769
770	5930	1761
771	5937	1753
772	5940	1744
773	5946	1736
774	5951	1727
775	5954	1718
776	5957	1709
777	5965	1702
778	5967	1692
779	5970	1683
780	5975	1675
781	5979	1666
782	5982	1657
783	5984	1648
784	5990	1640
785	5994	1632
786	5997	1623
787	5999	1614
788	6005	1606
789	6008	1597
790	6010	1588
791	6012	1579
792	6015	1570
793	6022	1562
794	6024	1553
795	6027	1544
796	6030	1535
797	6036	1528
798	6038	1519
799	6041	1510
800	6043	1501
801	6045	1492
802	6051	1484
803	6054	1476
804	6057	1467
805	6060	1458
806	6066	1450
807	6068	1442
808	6071	1433
809	6074	1424
810	6080	1416
811	6082	1408
812	6085	1399
813	6087	1391
814	6090	1382
815	6096	1374
816	6098	1366
817	6100	1357
818	6103	1348
819	6105	1340
820	6111	1332
821	6114	1324
822	6117	1315
823	6119	1307
824	6124	1299
825	6126	1290
826	6129	1282
827	6132	1273
828	6135	1265
829	6141	1257
830	6144	1249
831	6148	1241
832	6151	1233
833	6153	1224
834	6159	1217
835	6162	1208
836	6164	1200
837	6167	1192
838	6170	1184
839	6173	1175
840	6176	1167
841	6179	1159
842	6181	1151
843	6187	1143
844	6190	1135
845	6192	1127
846	6195	1119
847	6197	1110
848	6204	1103
849	6206	1095
850	6209	1087
851	6211	1079
852	6218	1071
853	6221	1063
854	6224	1055
855	6227	1047
856	6233	1040
857	6235	1032
858	6238	1023
859	6240	1015
860	6245	1008
861	6248	1000
862	6251	992
863	6254	984
864	6256	976
865	6263	969
866	6265	961
867	6268	953
868	6270	945
869	6276	937
870	6279	929
871	6281	922
872	6285	914
873	6291	906
874	6295	899
875	6301	891
876	6309	884
877	6312	877
878	6316	869
879	6327	862
880	6331	855
881	6338	847
882	6344	840
883	6347	832
884	6359	826
885	6362	818
886	6372	811
887	6376	804
888	6380	796
889	6389	789
890	6396	782
891	6403	775
892	6407	767
893	6416	760
894	6421	753
895	6428	746
896	6435	738
897	6438	731
898	6446	724
899	6449	716
900	6451	708
901	6454	701
902	6461	694
903	6464	686
904	6466	678
905	6469	671
906	6476	664
907	6479	656
908	6482	648
909	6484	641
910	6488	633
911	6491	626
912	6494	618
913	6499	611
914	6504	604
915	6507	596
916	6510	589
917	6517	582
918	6520	574
919	6523	567
920	6525	559
921	6532	552
922	6535	545
923	6537	537
924	6541	530
925	6547	523
926	6550	515
927	6552	508
928	6555	500
929	6562	493
930	6565	486
931	6567	479
932	6570	471
933	6578	464
934	6581	457
935	6583	450
936	6587	442
937	6593	435
938	6596	428
939	6599	421
940	6607	414
941	6611	407
942	6614	399
943	6620	392
944	6624	385
945	6626	378
946	6629	371
947	6641	364
948	6645	357
949	6652	350
950	6656	342
951	6659	335
952	6661	328
953	6668	321
954	6671	314
955	6674	307
956	6679	300
957	6683	292
958	6686	285
959	6689	278
960	6696	271
961	6698	264
962	6701	257
963	6703	250
964	6709	243
965	6712	236
966	6715	229
967	6719	222
968	6727	215
969	6732	208
970	6739	201
971	6744	194
972	6748	187
973	6756	180
974	6760	173
975	6763	166
976	6768	159
977	6774	152
978	6778	145
979	6781	138
980	6789	131
981	6793	124
982	6796	117
983	6803	110
984	6808	103
985	6811	96
986	6820	89
987	6824	82
988	6826	75
989	6832	69
990	6836	62
991	6840	55
992	6846	48
993	6849	41
994	6852	34
995	6855	27
996	6858	20
997	6863	13
998	6867	6
999	6870	0
